m0,g2,eta,ns,nlev,eigsh_ok,E0,M,Epi,W,WM,m_curv,m_curv_over_M,curv0,vg_max,vg_k5,vg_k5_cs,Ek5,Wfine,c_k5,rel_rms,band_ok,n_fail,frac_min,M2min,M2_k0,M2_kpi,M2_orient,gap_M2,gap_M2_k5,int_gap,twoM,MMp,margin,margin_k,n_Mstar,Mstar,Mstar_parity,Mstar_even,L_mean,L_mean_vac,L_rms,size_rms_raw,size_rms,size_mean,size_excess,vac_dom_weight,xi,xi_fit_ok,x_mean,gate_band,gate_margin,gate_size,gate_xi,gate_M2,feasible,rank,runtime,E1_0,E1_1,E1_2,E1_3,E1_4,E2_0,E2_1,E2_2,E2_3,E2_4
0.4,1.4,2.3,16,60,1,-20.7556,2.77523,3.78085,1.00562,2.79082,2.76818,0.997459,0.361249,0.429184,0.366277,0.367361,3.03154,1.28689,0.970816,0.070955,1,0,0.770948,3.78085,4.06212,3.78085,inverted,0.281269,1.03379,2.08284,5.55046,6.83734,2.52681,3.14159,0,nan,nan,nan,2.45451,1.46714,2.68636,1.34318,0.989744,0.493683,0.493683,0.189257,0.372814,1,nan,1,1,1,1,1,1,1,25.855,2.775228,2.881956,3.153829,3.486499,3.780846,4.062115,4.066705,4.055770,3.974025,3.780846
0.5,1.4,2.3,16,60,1,-21.2743,2.95738,3.91227,0.954894,2.82398,2.98634,1.00979,0.334858,0.408364,0.343733,0.344738,3.19647,1.25429,0.965259,0.0653595,1,0,0.797907,3.91227,4.21167,3.91227,inverted,0.299395,1.00986,2.1576,5.91476,7.16905,2.71082,3.14159,1,5.90418,1,5.90418,2.35148,1.36415,2.58005,1.29002,0.963506,0.493662,0.493662,0.215434,0.353414,1,nan,1,1,1,1,1,1,2,26.3169,2.957381,3.056580,3.311548,3.627735,3.912274,4.211669,4.212561,4.193210,4.104723,3.912274
0.3,1.4,2.3,16,60,1,-20.258,2.59392,3.65418,1.06026,2.75023,2.55481,0.984921,0.391419,0.451684,0.391148,0.392332,2.86957,1.31804,0.976559,0.0773312,1,0,0.739228,3.65418,3.91196,3.65418,inverted,0.257779,1.05586,1.99924,5.18785,6.50588,2.34534,3.14159,0,nan,nan,nan,2.56683,1.57946,2.80149,1.40075,1.01752,0.493687,0.493687,0.163972,0.394841,1,nan,1,1,1,1,1,1,3,33.8294,2.593923,2.709191,2.999761,3.350001,3.654180,3.911959,3.920974,3.920204,3.847044,3.654180
0.7,1.1,2.3,16,60,1,-20.3434,3.02274,3.9798,0.957067,2.89296,2.97268,0.983441,0.336397,0.410893,0.346077,0.347037,3.26321,1.19232,0.978393,0.0597964,1,0,0.735427,3.9798,4.21506,3.9798,inverted,0.235254,0.967155,1.82876,6.04547,7.23779,2.77841,3.14159,1,5.74312,-1,nan,2.34508,1.31969,2.57975,1.28988,0.981656,0.512698,0.512698,0.22822,0.350804,1,nan,1,1,1,1,1,1,4,28.6036,3.022736,3.122445,3.379108,3.697233,3.979803,4.215056,4.224616,4.226681,4.160266,3.979803
0.6,1.4,2.3,16,60,1,-21.8125,3.14034,4.04816,0.907826,2.85088,3.20906,1.02188,0.311618,0.389089,0.323276,0.324216,3.36403,1.22098,0.959896,0.0604092,1,0,0.820946,4.04816,4.36132,4.04816,inverted,0.313155,0.9848,2.22404,6.28067,7.50165,2.89688,3.14159,1,6.25854,-1,nan,2.25699,1.26972,2.48187,1.24093,0.938758,0.493637,0.493637,0.242206,0.336213,1,nan,1,1,1,1,1,1,5,61.5954,3.140335,3.232861,3.472522,3.773290,4.048161,4.361316,4.359103,4.332784,4.239063,4.048161
0.6,1.1,2.3,16,60,1,-19.8153,2.83877,3.84611,1.00734,2.8596,2.75999,0.972247,0.362321,0.431769,0.368399,0.369433,3.09622,1.22099,0.983675,0.0648683,1,0,0.706267,3.84611,4.05976,3.84611,inverted,0.213652,0.988301,1.78758,5.67754,6.89853,2.59245,3.14159,1,5.56282,-1,nan,2.44636,1.41922,2.68447,1.34224,1.00873,0.513572,0.513572,0.20165,0.369802,1,nan,1,1,1,1,1,1,6,28.4095,2.838769,2.945885,3.219276,3.553846,3.846106,4.059758,4.073366,4.084900,4.026559,3.846106
0.2,1.4,2.3,16,60,1,-19.7834,2.41351,3.53258,1.11907,2.70088,2.34646,0.972217,0.426174,0.476007,0.418604,0.419918,2.71096,1.34671,0.982474,0.0846663,1,0,0.701636,3.53258,3.76023,3.53258,inverted,0.227648,1.0751,1.90655,4.82703,6.17374,2.16703,3.14159,0,nan,nan,nan,2.68925,1.70194,2.9262,1.4631,1.04686,0.493654,0.493654,0.139882,0.420034,1,nan,1,1,1,1,1,1,7,29.8959,2.413513,2.538526,2.849804,3.218697,3.532579,3.760227,3.774583,3.786109,3.723794,3.532579
0.7,1.4,2.3,16,60,1,-22.3685,3.32405,4.1882,0.864152,2.87249,3.4361,1.03371,0.291027,0.371233,0.304682,0.30557,3.53394,1.1875,0.954734,0.0560001,1,0,0.840726,4.1882,4.51155,4.1882,inverted,0.32335,0.959158,2.28281,6.6481,7.83561,3.0846,3.14159,1,6.45435,-1,nan,2.17034,1.1831,2.39118,1.19559,0.915445,0.493618,0.493618,0.269299,0.320873,1,nan,1,1,1,1,1,1,8,43.0594,3.324052,3.410633,3.636405,3.922779,4.188205,4.511555,4.506730,4.474650,4.376935,4.188205
0.3,1.1,2.2,16,60,1,-17.9204,2.26474,3.36617,1.10142,2.49444,2.34528,1.03556,0.426388,0.470085,0.416141,0.417421,2.56136,1.24391,0.952104,0.108525,1,0,0.627792,3.36617,3.50866,3.36617,inverted,0.14249,0.996663,1.62466,4.52949,5.7734,2.02577,-2.35619,0,nan,nan,nan,2.74597,1.72329,2.98936,1.49468,1.07985,0.511341,0.511341,0.136622,0.431071,1,nan,1,1,1,1,1,1,9,23.8973,2.264744,2.389637,2.699191,3.063062,3.366168,3.508657,3.532715,3.569429,3.536436,3.366168
0.5,1.1,2.3,16,60,1,-19.3075,2.65556,3.71701,1.06145,2.81875,2.55172,0.960898,0.391892,0.454293,0.392997,0.394124,2.93205,1.24837,0.989108,0.0706584,1,0,0.673312,3.71701,3.90393,3.71701,inverted,0.186914,1.00764,1.74053,5.31112,6.55948,2.40886,3.14159,0,nan,nan,nan,2.5568,1.5279,2.79793,1.39896,1.03742,0.51445,0.51445,0.175823,0.391353,1,nan,1,1,1,1,1,1,10,34.9768,2.655560,2.771062,3.062933,3.415029,3.717011,3.903925,3.922228,3.944848,3.896391,3.717011
0.4,1.1,2.2,16,60,1,-18.392,2.44635,3.48732,1.04097,2.54657,2.5662,1.04899,0.389681,0.444829,0.387585,0.388725,2.72011,1.21942,0.946399,0.0982831,1,0,0.669697,3.48732,3.66577,3.48732,inverted,0.178456,0.981181,1.68848,4.8927,6.11212,2.21064,3.14159,0,nan,nan,nan,2.61413,1.59284,2.8552,1.4276,1.04744,0.510645,0.510645,0.161722,0.403348,1,nan,1,1,1,1,1,1,11,28.0443,2.446348,2.560986,2.848975,3.193707,3.487315,3.665771,3.683894,3.706653,3.660614,3.487315
0.4,1.1,2.3,16,60,1,-18.8219,2.47316,3.59282,1.11966,2.76909,2.34808,0.949425,0.42588,0.478599,0.420127,0.421375,2.77108,1.27367,0.99468,0.0773336,1,0,0.635987,3.59282,3.74683,3.59282,inverted,0.154014,1.02434,1.6868,4.94632,6.21999,2.22751,-2.35619,0,nan,nan,nan,2.67724,1.64662,2.92089,1.46045,1.06777,0.51531,0.51531,0.151041,0.415979,1,nan,1,1,1,1,1,1,12,32.2329,2.473158,2.598211,2.910528,3.281229,3.592817,3.746831,3.770610,3.806211,3.769793,3.592817
0.3,1.1,2.3,16,60,1,-18.3605,2.29162,3.47381,1.18219,2.70914,2.14923,0.937866,0.465282,0.50483,0.450054,0.451459,2.61378,1.29584,1.00037,0.0851179,1,0,0.593516,3.47381,3.58746,3.47381,inverted,0.113648,1.03735,1.62552,4.58324,5.87908,2.03727,-2.35619,0,nan,nan,nan,2.80854,1.7763,3.05419,1.52709,1.09984,0.516121,0.516121,0.12761,0.444359,1,nan,1,1,1,1,1,1,13,22.9726,2.291621,2.427623,2.762581,3.152930,3.473815,3.587462,3.617717,3.668534,3.646734,3.473815
0.5,1.1,2.2,16,60,1,-18.8881,2.62884,3.61377,0.984925,2.58921,2.79259,1.06229,0.35809,0.421514,0.361817,0.362851,2.88247,1.19217,0.940837,0.0894792,1,0,0.706084,3.61377,3.82101,3.61377,inverted,0.207246,0.962395,1.74425,5.25768,6.44985,2.39256,3.14159,0,nan,nan,nan,2.49368,1.47386,2.73186,1.36593,1.01685,0.509909,0.509909,0.188154,0.379336,1,nan,1,1,1,1,1,1,14,28.1379,2.628841,2.734558,3.003161,3.329868,3.613765,3.821012,3.834144,3.845150,3.788548,3.613765
0.7,1.4,2.4,16,60,1,-22.7573,3.35232,4.28458,0.932263,3.12524,3.14318,0.937615,0.318149,0.40007,0.331164,0.332119,3.5811,1.25293,1.00225,0.0432852,1,0,0.818853,4.28458,4.60524,4.28458,inverted,0.320663,1.01218,2.27552,6.70463,7.95756,3.10005,3.14159,1,6.53493,-1,nan,2.22632,1.23326,2.45082,1.22541,0.933559,0.496526,0.496526,0.253384,0.330607,1,nan,1,1,1,1,1,1,15,57.143,3.352316,3.446851,3.692314,4.001399,4.284579,4.605242,4.603353,4.577112,4.481206,4.284579
0.6,1.4,2.4,16,60,1,-22.2112,3.16879,4.14684,0.978048,3.09923,2.93814,0.927212,0.340351,0.418849,0.350916,0.35193,3.41235,1.28571,1.0075,0.04648,1,0,0.797443,4.14684,4.4545,4.14684,inverted,0.307658,1.03706,2.21834,6.33758,7.62329,2.91306,3.14159,0,nan,nan,nan,2.31389,1.32052,2.54208,1.27104,0.956908,0.496681,0.496681,0.227551,0.346378,1,nan,1,1,1,1,1,1,16,53.6182,3.168791,3.269716,3.529948,3.854081,4.146839,4.454497,4.455599,4.436066,4.345139,4.146839
0.2,1.4,2.2,16,60,1,-19.3488,2.38411,3.42592,1.04181,2.48379,2.56123,1.07429,0.390438,0.443114,0.386717,0.387918,2.6578,1.28606,0.934792,0.106507,1,0,0.731417,3.42592,3.67018,3.42592,inverted,0.244254,1.02736,1.9017,4.76822,6.05429,2.14665,3.14159,0,nan,nan,nan,2.62962,1.64921,2.86444,1.43222,1.02885,0.490205,0.490205,0.149707,0.407669,1,nan,1,1,1,1,1,1,17,23.8746,2.384112,2.498859,2.786288,3.129864,3.425922,3.670175,3.679756,3.680937,3.611970,3.425922
0.6,1.1,2.2,16,60,1,-19.4063,2.81216,3.74519,0.933029,2.62383,3.02422,1.07541,0.330664,0.399989,0.338552,0.339504,3.04796,1.1632,0.935434,0.0818343,1,0,0.737815,3.74519,3.97536,3.74519,inverted,0.230166,0.94135,1.79286,5.62433,6.78752,2.57725,3.14159,1,5.48229,-1,nan,2.38366,1.36533,2.61844,1.30922,0.988041,0.509165,0.509165,0.21557,0.358361,1,nan,1,1,1,1,1,1,18,26.5648,2.812164,2.910070,3.161219,3.471036,3.745194,3.975359,3.984251,3.985348,3.920237,3.745194
0.5,1.4,2.4,16,60,1,-21.683,2.98601,4.01324,1.02723,3.06732,2.73699,0.916605,0.365365,0.439059,0.372578,0.373665,3.246,1.31801,1.01294,0.050066,1,0,0.772735,4.01324,4.30401,4.01324,inverted,0.290775,1.06106,2.15391,5.97201,7.29002,2.72786,3.14159,0,nan,nan,nan,2.40904,1.41535,2.64056,1.32028,0.981618,0.49684,0.49684,0.202146,0.364036,1,nan,1,1,1,1,1,1,19,57.4153,2.986005,3.094087,3.370547,3.710735,4.013238,4.304013,4.308632,4.297097,4.212499,4.013238
0.7,1.1,2.2,16,60,1,-19.945,2.99627,3.88127,0.885002,2.6517,3.26085,1.08831,0.306668,0.380112,0.317522,0.318408,3.21621,1.13325,0.930202,0.0751384,1,0,0.765552,3.88127,4.12952,3.88127,inverted,0.248246,0.918845,1.8352,5.99254,7.12578,2.76413,3.14159,1,5.66452,-1,nan,2.28316,1.2663,2.51411,1.25705,0.960947,0.508432,0.508432,0.243629,0.339899,1,nan,1,1,1,1,1,1,20,40.3662,2.996268,3.087291,3.322700,3.616745,3.881270,4.129516,4.134788,4.127534,4.055616,3.881270
0.3,1.4,2.2,16,60,1,-19.8338,2.56464,3.54975,0.985108,2.52645,2.79279,1.08896,0.358065,0.419765,0.36059,0.361676,2.8178,1.25535,0.928913,0.096897,1,0,0.767172,3.54975,3.81998,3.54975,inverted,0.270237,1.00608,1.99782,5.12928,6.38462,2.32629,3.14159,0,nan,nan,nan,2.50688,1.52613,2.73906,1.36953,0.99921,0.490376,0.490376,0.175459,0.383039,1,nan,1,1,1,1,1,1,21,30.4442,2.564638,2.670265,2.938020,3.263497,3.549747,3.819984,3.824770,3.814965,3.736592,3.549747
0.4,1.4,2.4,16,60,1,-21.1743,2.804,3.88405,1.08006,3.02848,2.53992,0.905821,0.393713,0.460821,0.396365,0.39754,3.08232,1.34925,1.01856,0.0541247,1,0,0.74411,3.88405,4.15325,3.88405,inverted,0.269198,1.0836,2.0816,5.608,6.95725,2.54485,3.14159,0,nan,nan,nan,2.51241,1.51842,2.74687,1.37343,1.00773,0.496993,0.496993,0.177423,0.383921,1,nan,1,1,1,1,1,1,22,28.2913,2.803998,2.920135,3.214454,3.571733,3.884054,4.153252,4.162017,4.160014,4.083367,3.884054
0.4,1.4,2.2,16,60,1,-20.3418,2.74609,3.67873,0.932636,2.5611,3.03001,1.10339,0.330032,0.398244,0.337026,0.338025,2.9811,1.22262,0.923227,0.0885454,1,0,0.797001,3.67873,3.96871,3.67873,inverted,0.289986,0.982408,2.08444,5.49218,6.7148,2.5089,3.14159,0,nan,nan,nan,2.39471,1.41368,2.6237,1.31185,0.97125,0.490515,0.490515,0.202365,0.361547,1,nan,1,1,1,1,1,1,23,35.0826,2.746090,2.843747,3.093813,3.402329,3.678725,3.968711,3.969563,3.950799,3.865145,3.678725
