ns,E,p,delta
8,4.773510,0.295328,-0.590656
8,5.070266,2.478816,1.325553
10,4.771961,0.248911,-0.622278
10,4.940198,1.767992,-1.278387
12,4.771078,0.218191,-0.654572
12,4.878837,1.389976,-1.028336
12,5.129246,2.706823,1.304308
14,4.770508,0.195907,-0.685676
14,4.845341,1.153859,-0.896914
14,5.030465,2.293808,1.396449
16,4.770110,0.178767,-0.715069
16,4.825115,0.986494,-0.804382
16,4.965887,1.923021,-1.408897
18,4.769817,0.165038,-0.742672
18,4.811981,0.861767,-0.736359
18,4.922039,1.658950,-1.182090
18,5.075839,2.501976,1.307480
20,4.769593,0.153711,-0.768556
20,4.802971,0.765403,-0.685421
20,4.891113,1.468859,-1.061108
20,5.018940,2.233347,1.399636
