ns,E,p,delta
8,2.340667,1.220060,0.701472
8,2.571064,1.775722,-0.409851
10,2.124539,0.471443,-1.178608
10,2.408713,1.391454,-0.337042
10,2.606653,1.860439,-1.509505
12,2.117769,0.431700,-1.295100
12,2.328539,1.188021,-0.422469
14,2.110504,0.384921,-1.347224
14,2.277116,1.045186,-0.516558
16,2.104955,0.345292,-1.381167
16,2.242144,0.939644,-0.616985
16,2.517741,1.650405,-0.318435
18,2.100771,0.312344,-1.405548
18,2.216794,0.857212,-0.715863
18,2.441374,1.470238,-0.332887
20,2.097572,0.284756,-1.423782
20,2.197480,0.789980,-0.808309
20,2.383726,1.329901,-0.366318
