# m0=0.7, g2=1.1, eta=1.3; ns=50 staggered sites (101 qubits), PBC
# source: data/sigma_vac_ns50.npz
# Re sigma(omega) = omega * ReW00 / q1^2 (Ward identity); band = omega*spread/q1^2
# gap at meson mass M = 2.7451 (excitonic insulator); sum rule saturated to 0.07%
omega,q1,Re_sigma,window_band
0.0000,0.251327,-0.000000e+00,0.000000e+00
0.0000,0.502655,-0.000000e+00,0.000000e+00
0.0000,0.753982,-0.000000e+00,0.000000e+00
0.0200,0.251327,-8.227085e-06,1.784141e-05
0.0200,0.502655,-4.153069e-06,9.158012e-06
0.0200,0.753982,-3.536990e-06,1.069162e-05
0.0400,0.251327,-1.560530e-05,3.337655e-05
0.0400,0.502655,-7.828819e-06,1.676731e-05
0.0400,0.753982,-6.707143e-06,2.023256e-05
0.0600,0.251327,-2.208138e-05,4.596538e-05
0.0600,0.502655,-1.099604e-05,2.236603e-05
0.0600,0.753982,-9.480997e-06,2.816156e-05
0.0800,0.251327,-2.761226e-05,5.503705e-05
0.0800,0.502655,-1.362939e-05,2.553781e-05
0.0800,0.753982,-1.183360e-05,3.405041e-05
0.1000,0.251327,-3.216613e-05,6.010637e-05
0.1000,0.502655,-1.571007e-05,2.592432e-05
0.1000,0.753982,-1.374521e-05,3.751631e-05
0.1200,0.251327,-3.572335e-05,6.078879e-05
0.1200,0.502655,-1.722645e-05,2.323682e-05
0.1200,0.753982,-1.520185e-05,3.823339e-05
0.1400,0.251327,-3.827708e-05,5.681338e-05
0.1400,0.502655,-1.817451e-05,1.736439e-05
0.1400,0.753982,-1.619582e-05,3.594340e-05
0.1600,0.251327,-3.983378e-05,4.803374e-05
0.1600,0.502655,-1.855818e-05,9.006526e-06
0.1600,0.753982,-1.672608e-05,3.046491e-05
0.1800,0.251327,-4.041326e-05,3.512533e-05
0.1800,0.502655,-1.838948e-05,4.908930e-06
0.1800,0.753982,-1.679846e-05,2.170122e-05
0.2000,0.251327,-4.004868e-05,1.864720e-05
