# m0=0.7,g2=1.1,eta=1.3; 101-qubit synthesis ladder, exact -> snapped -> Clifford endpoint
# source: data/synthladder_*.npz (scripts/synthesis_ladder_ns50.py, clifford_endpoint_ns50.py)
# exact <H> = -49.4260, ridge peak 0.4334; ridge_rms_err = RMS(W-W0)/peak on W^00(q0,q1=pi/2)
delta,mode,seed,H_oncircuit,ridge_rms_err
0,exact,0,-49.4260,0.0000
pi/128,stoc,0,-49.4073,0.0248
pi/128,stoc,2,-49.4097,0.0173
pi/128,stoc,3,-49.4082,0.0139
pi/16,stoc,0,-47.7741,0.1727
pi/32,stoc,0,-49.0419,0.1365
pi/64,stoc,0,-49.3336,0.0358
pi/64,stoc,2,-49.3226,0.0568
pi/64,stoc,3,-49.3227,0.0418
pi/2,clifford,0,-40.0000,0.5667
