# m0=0.7, g2=1.1, eta=1.3; ns=50 staggered sites (101 qubits), PBC
# source: data/w00_vac_ns50_W.npz
# Gaussian-windowed FT, completed-time convention; spread = ptp over window rescalings {0.75, 1.0, 1.5} (systematic)
# vacuum polarization: ridge along q0 = E(q1) is the meson dispersion
q0,q1,ReW00,ImW00,window_spread
-0.5000,0.000000,-6.958850e-06,-5.071879e-19,2.263159e-05
-0.5000,0.251327,-3.590952e-05,7.712325e-07,2.581096e-05
-0.5000,0.502655,-7.536861e-05,1.333008e-06,9.418702e-05
-0.5000,0.753982,-1.325572e-04,1.508624e-06,1.822224e-04
-0.5000,1.005310,-1.928041e-04,1.181370e-06,3.275551e-04
-0.5000,1.256637,-2.634152e-04,3.119574e-07,4.737994e-04
-0.5000,1.507964,-3.308473e-04,-1.056099e-06,6.379659e-04
-0.5000,1.759292,-4.063993e-04,-2.803194e-06,7.350275e-04
-0.5000,2.010619,-4.788278e-04,-4.750670e-06,7.688444e-04
-0.5000,2.261947,-5.629129e-04,-6.685282e-06,6.492551e-04
-0.5000,2.513274,-6.458196e-04,-8.387642e-06,4.089039e-04
-0.5000,2.764602,-7.423405e-04,-9.661053e-06,1.595043e-04
-0.5000,3.015929,-8.337315e-04,-1.035721e-05,7.034918e-04
-0.4600,0.000000,-7.059763e-06,-2.664978e-18,2.246733e-05
-0.4600,0.251327,-3.623357e-05,7.712325e-07,2.048263e-05
-0.4600,0.502655,-7.582446e-05,1.333008e-06,8.442917e-05
-0.4600,0.753982,-1.336934e-04,1.508624e-06,1.659626e-04
-0.4600,1.005310,-1.940602e-04,1.181370e-06,3.186289e-04
-0.4600,1.256637,-2.648618e-04,3.119574e-07,4.848097e-04
-0.4600,1.507964,-3.315045e-04,-1.056099e-06,6.958528e-04
-0.4600,1.759292,-4.062124e-04,-2.803194e-06,8.590969e-04
-0.4600,2.010619,-4.769102e-04,-4.750670e-06,9.854025e-04
-0.4600,2.261947,-5.597219e-04,-6.685282e-06,9.669633e-04
-0.4600,2.513274,-6.411029e-04,-8.387642e-06,8.370077e-04
-0.4600,2.764602,-7.374926e-04,-9.661053e-06,5.127716e-04
-0.4600,3.015929,-8.292199e-04,-1.035721e-05,1.622926e-04
-0.4200,0.000000,-7.171275e-06,-2.262692e-18,2.173003e-05
-0.4200,0.251327,-3.652819e-05,7.712325e-07,1.317825e-05
-0.4200,0.502655,-7.626457e-05,1.333008e-06,6.850052e-05
-0.4200,0.753982,-1.349093e-04,1.508624e-06,1.361376e-04
-0.4200,1.005310,-1.956319e-04,1.181370e-06,2.858087e-04
-0.4200,1.256637,-2.669972e-04,3.119574e-07,4.590904e-04
-0.4200,1.507964,-3.333265e-04,-1.056099e-06,7.035704e-04
-0.4200,1.759292,-4.076327e-04,-2.803194e-06,9.212325e-04
-0.4200,2.010619,-4.768528e-04,-4.750670e-06,1.133271e-03
-0.4200,2.261947,-5.582530e-04,-6.685282e-06,1.216764e-03
-0.4200,2.513274,-6.374546e-04,-8.387642e-06,1.207745e-03
-0.4200,2.764602,-7.324595e-04,-9.661053e-06,9.992396e-04
-0.4200,3.015929,-8.227281e-04,-1.035721e-05,6.844842e-04
-0.3800,0.000000,-7.277733e-06,-1.404240e-18,2.050775e-05
-0.3800,0.251327,-3.675369e-05,7.712325e-07,4.313027e-06
-0.3800,0.502655,-7.660345e-05,1.333008e-06,4.732882e-05
-0.3800,0.753982,-1.360577e-04,1.508624e-06,9.431972e-05
-0.3800,1.005310,-1.973328e-04,1.181370e-06,2.307344e-04
-0.3800,1.256637,-2.696367e-04,3.119574e-07,3.974448e-04
-0.3800,1.507964,-3.362125e-04,-1.056099e-06,6.595598e-04
-0.3800,1.759292,-4.107333e-04,-2.803194e-06,9.159564e-04
-0.3800,2.010619,-4.790137e-04,-4.750670e-06,1.201322e-03
-0.3800,2.261947,-5.592356e-04,-6.685282e-06,1.380701e-03
-0.3800,2.513274,-6.360482e-04,-8.387642e-06,1.495516e-03
-0.3800,2.764602,-7.288727e-04,-9.661053e-06,1.415715e-03
-0.3800,3.015929,-8.163273e-04,-1.035721e-05,1.235357e-03
-0.3400,0.000000,-7.360521e-06,6.724021e-19,1.892062e-05
-0.3400,0.251327,-3.686383e-05,7.712325e-07,1.076206e-05
-0.3400,0.502655,-7.673729e-05,1.333008e-06,2.220652e-05
-0.3400,0.753982,-1.369504e-04,1.508624e-06,4.290716e-05
-0.3400,1.005310,-1.988993e-04,1.181370e-06,1.565514e-04
-0.3400,1.256637,-2.724672e-04,3.119574e-07,3.030651e-04
-0.3400,1.507964,-3.398712e-04,-1.056099e-06,5.656387e-04
-0.3400,1.759292,-4.153319e-04,-2.803194e-06,8.421140e-04
-0.3400,2.010619,-4.834387e-04,-4.750670e-06,1.183445e-03
