# m0=0.7, g2=1.1, eta=1.3; ns=50 staggered sites (101 qubits), PBC
# source: data/w_meson_ns50_k0.00_v3_W.npz
# Gaussian-windowed FT, completed-time convention; spread = ptp over window rescalings {0.75, 1.0, 1.5} (systematic)
# meson wavepacket at rest (k0=0); sigma_x=0.75; prep fidelity F=0.9946 (ns=8 certificate)
# completed-time grid: dispersion region only -- reproduce the low-omega ridge with a one-sided FT on data/w_meson_ns50_k0.00_v3.npz (see data/README.md)
q0,q1,ReW00,ImW00,window_spread
-1.0000,-3.015929,-1.798777e-02,0.000000e+00,5.956950e-02
-1.0000,-2.764602,-2.566613e-02,0.000000e+00,4.962102e-02
-1.0000,-2.513274,-2.892561e-02,0.000000e+00,3.963599e-02
-1.0000,-2.261947,-2.906517e-02,0.000000e+00,3.009091e-02
-1.0000,-2.010619,-2.729531e-02,0.000000e+00,2.186963e-02
-1.0000,-1.759292,-2.464114e-02,0.000000e+00,1.493512e-02
-1.0000,-1.507964,-2.169683e-02,0.000000e+00,9.620868e-03
-1.0000,-1.256637,-1.873074e-02,0.000000e+00,5.548661e-03
-1.0000,-1.005310,-1.567074e-02,0.000000e+00,2.793420e-03
-1.0000,-0.753982,-1.236020e-02,0.000000e+00,9.207887e-04
-1.0000,-0.502655,-8.619749e-03,0.000000e+00,1.501428e-04
-1.0000,-0.251327,-4.453319e-03,0.000000e+00,2.786395e-04
-1.0000,0.000000,1.595890e-05,0.000000e+00,3.857437e-04
-1.0000,0.251327,4.509868e-03,0.000000e+00,1.581495e-03
-1.0000,0.502655,8.794007e-03,0.000000e+00,3.597032e-03
-1.0000,0.753982,1.269844e-02,0.000000e+00,6.215625e-03
-1.0000,1.005310,1.627343e-02,0.000000e+00,9.699848e-03
-1.0000,1.256637,1.968397e-02,0.000000e+00,1.384135e-02
-1.0000,1.507964,2.321185e-02,0.000000e+00,1.889146e-02
-1.0000,1.759292,2.700650e-02,0.000000e+00,2.453861e-02
-1.0000,2.010619,3.101668e-02,0.000000e+00,3.092161e-02
-1.0000,2.261947,3.474052e-02,0.000000e+00,3.753758e-02
-1.0000,2.513274,3.727181e-02,0.000000e+00,4.439384e-02
-1.0000,2.764602,3.722791e-02,0.000000e+00,5.075565e-02
-1.0000,3.015929,3.307346e-02,0.000000e+00,5.646315e-02
-0.9600,-3.015929,-1.661847e-02,0.000000e+00,6.315065e-02
-0.9600,-2.764602,-2.517463e-02,0.000000e+00,5.326454e-02
-0.9600,-2.513274,-2.903319e-02,0.000000e+00,4.315860e-02
-0.9600,-2.261947,-2.953725e-02,0.000000e+00,3.335124e-02
-0.9600,-2.010619,-2.794658e-02,0.000000e+00,2.474970e-02
-0.9600,-1.759292,-2.535398e-02,0.000000e+00,1.738289e-02
-0.9600,-1.507964,-2.239869e-02,0.000000e+00,1.161248e-02
-0.9600,-1.256637,-1.938830e-02,0.000000e+00,7.107147e-03
-0.9600,-1.005310,-1.625826e-02,0.000000e+00,3.945072e-03
-0.9600,-0.753982,-1.285515e-02,0.000000e+00,1.713663e-03
