# m0=0.7, g2=1.1, eta=1.3; ns=50 staggered sites (101 qubits), PBC
# source: data/w_meson_ns50_k1.26_v3_W.npz
# Gaussian-windowed FT, completed-time convention; spread = ptp over window rescalings {0.75, 1.0, 1.5} (systematic)
# boosted meson wavepacket, k0=2pi/5=1.2566; prep fidelity F=0.9936; signed q1 grid (boost asymmetry)
# completed-time grid: dispersion region only -- reproduce the low-omega ridge with a one-sided FT on data/w_meson_ns50_k1.26_v3.npz (see data/README.md)
q0,q1,ReW00,ImW00,window_spread
-1.0000,-3.015929,-2.053243e-02,0.000000e+00,4.887458e-02
-1.0000,-2.764602,-2.450492e-02,0.000000e+00,3.963437e-02
-1.0000,-2.513274,-2.474904e-02,0.000000e+00,3.101544e-02
-1.0000,-2.261947,-2.308850e-02,0.000000e+00,2.314697e-02
-1.0000,-2.010619,-2.038510e-02,0.000000e+00,1.670474e-02
-1.0000,-1.759292,-1.791856e-02,0.000000e+00,1.142388e-02
-1.0000,-1.507964,-1.577658e-02,0.000000e+00,7.583237e-03
-1.0000,-1.256637,-1.425373e-02,0.000000e+00,4.689566e-03
-1.0000,-1.005310,-1.266917e-02,0.000000e+00,2.796724e-03
-1.0000,-0.753982,-1.082245e-02,0.000000e+00,1.394167e-03
-1.0000,-0.502655,-8.014194e-03,0.000000e+00,6.581657e-04
-1.0000,-0.251327,-4.365094e-03,0.000000e+00,3.851298e-04
-1.0000,0.000000,2.751476e-04,0.000000e+00,1.062406e-03
-1.0000,0.251327,5.302170e-03,0.000000e+00,2.718775e-03
-1.0000,0.502655,1.065677e-02,0.000000e+00,5.898723e-03
-1.0000,0.753982,1.594016e-02,0.000000e+00,1.053174e-02
-1.0000,1.005310,2.168552e-02,0.000000e+00,1.698945e-02
-1.0000,1.256637,2.822592e-02,0.000000e+00,2.502788e-02
-1.0000,1.507964,3.665883e-02,0.000000e+00,3.496156e-02
-1.0000,1.759292,4.727935e-02,0.000000e+00,4.654323e-02
-1.0000,2.010619,6.038891e-02,0.000000e+00,6.013372e-02
-1.0000,2.261947,7.462401e-02,0.000000e+00,7.531363e-02
-1.0000,2.513274,8.822068e-02,0.000000e+00,9.203362e-02
-1.0000,2.764602,9.773729e-02,0.000000e+00,1.089680e-01
-1.0000,3.015929,1.002237e-01,0.000000e+00,1.249506e-01
-0.9600,-3.015929,-2.018664e-02,0.000000e+00,5.321361e-02
